window_id,start_ref_cls,start_test_cls,end_test_cls,mmd_stat,gamma,p_cls,perm_mean,perm_std,top_ks,top_psi,start_ref_q,start_test_q,end_test_q,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error,C_cls,C_q,w_q_raw,w_q,w_cls,S_hybrid,S_hybrid_z,drift_flag,w_q_gated,w_cls_gated,S_hybrid_robust,gating,S_roll_mean,S_roll_std,T_rolling,drift_flag_rolling,drift_flag_fixed,drift_injected,w_q_prior
0,0,4000,5000,8.890486346824211e-05,0.0177080558866948,0.2574257425742574,-3.668061968430836e-05,0.0002076406285561,date_of_birth_distinct_emails_4w:0.0420:1.2e-01;proposed_credit_limit:0.0375:2.1e-01;intended_balcon_amount:0.0370:2.2e-01,name_email_similarity:0.0132;date_of_birth_distinct_emails_4w:0.0117;days_since_request:0.0115,0.0,4000.0,5000.0,-0.0139067015694261,1.0,0.0128868217743469,200.0,160.0,40.0,0.0071597099304199,0.4436068534851074,,0.7425742574257426,0.0,0.4369326636593878,0.4369326636593878,0.5630673363406122,0.4181193091638209,0.6612171653015454,0,0.2350210435640876,0.7649789564359124,0.5680536805217171,0.5378884736969424,0.5680536805217171,0.0,0.6583811754901207,0,0,0,0.4369326636593878
1,500,4500,5500,-0.0005078279107018,0.0175299471370101,1.0,-2.5630049615776863e-05,0.0002691681737912,bank_branch_count_8w:0.0380:2.0e-01;session_length_in_minutes:0.0365:2.3e-01;income:0.0343:3.0e-01,bank_branch_count_8w:0.0156;velocity_6h:0.0155;income:0.0146,,,,,1.0,0.0126357347106184,,,,,,,0.0,0.0,0.4417793426368091,0.4417793426368091,0.5582206573631909,0.0,-2.064141442535792,0,0.23978700798600402,0.760212992013996,0.0,0.5427755099521134,0.28402684026085856,0.28402684026085856,0.6583811754901207,0,0,0,0.44177934263681007
2,1000,5000,6000,0.000140098240958,0.0178936109985665,0.2673267326732673,9.0866590084282e-07,0.0002520803563984,velocity_6h:0.0418:1.2e-01;keep_alive_session:0.0405:1.4e-01;date_of_birth_distinct_emails_4w:0.0387:1.8e-01,current_address_months_count:0.0234;velocity_6h:0.0191;credit_risk_score:0.0186,,,,,1.0,0.0126357347106184,,,,,,,0.7326732673267327,0.0,0.4417793426368091,0.4417793426368091,0.5582206573631909,0.4089933529195656,0.6017329394838772,0,0.23978700798600402,0.760212992013996,0.5569877367231257,0.5427755099521134,0.37501380574828097,0.26521328480350226,0.6583811754901207,0,0,0,0.44177934263681007
3,1500,5500,6500,0.0002334532209808,0.0172875339474239,0.1683168316831683,9.93324904989601e-06,0.0002260276382408,velocity_6h:0.0475:5.3e-02;has_other_cards:0.0445:8.3e-02;proposed_credit_limit:0.0423:1.1e-01,velocity_6h:0.0292;name_email_similarity:0.0213;credit_risk_score:0.0197,,,,,1.0,0.0126357347106184,,,,,,,0.8316831683168318,0.0,0.4417793426368091,0.4417793426368091,0.5582206573631909,0.4642627249357232,0.9619862343514004,0,0.23978700798600402,0.760212992013996,0.6322563497938185,0.5427755099521134,0.43932444175966534,0.2552667987415599,0.6583811754901207,0,0,0,0.44177934263681007
4,2000,6000,7000,0.0001423438877967,0.0177145700352246,0.2673267326732673,6.334257443858516e-06,0.0002546959178275,intended_balcon_amount:0.0457:6.9e-02;velocity_4w:0.0405:1.4e-01;velocity_24h:0.0365:2.3e-01,current_address_months_count:0.0193;intended_balcon_amount:0.0177;date_of_birth_distinct_emails_4w:0.0171,,,,,1.0,0.0126357347106184,,,,,,,0.7326732673267327,0.0,0.4417793426368091,0.4417793426368091,0.5582206573631909,0.4089933529195656,0.6017329394838772,0,0.23978700798600402,0.760212992013996,0.5569877367231257,0.5427755099521134,0.46285710075235736,0.2331181138154574,0.6583811754901207,0,0,0,0.44177934263681007
5,2500,6500,7500,8.43616121488644e-05,0.0177671702861177,0.3267326732673267,1.1271561182910616e-05,0.0002674975165101,zip_count_4w:0.0420:1.2e-01;credit_risk_score:0.0410:1.3e-01;days_since_request:0.0348:2.8e-01,zip_count_4w:0.0167;velocity_6h:0.0148;date_of_birth_distinct_emails_4w:0.0135,,,,,1.0,0.0126357347106184,,,,,,,0.6732673267326733,0.0,0.4417793426368091,0.4417793426368091,0.5582206573631909,0.3758317297098711,0.3855809625633639,0,0.23978700798600402,0.760212992013996,0.5118265688807102,0.5427755099521134,0.4710186787737496,0.21358784906854328,0.6583811754901207,0,0,0,0.44177934263681007
6,3000,7000,8000,3.3247012518611285e-06,0.01797441595181,0.4158415841584158,-9.075395798427977e-06,0.0002293542034077,intended_balcon_amount:0.0587:7.8e-03;zip_count_4w:0.0437:9.2e-02;velocity_6h:0.0432:9.9e-02,intended_balcon_amount:0.0241;session_length_in_minutes:0.0204;days_since_request:0.0189,,,,,1.0,0.0126357347106184,,,,,,,0.5841584158415842,0.0,0.4417793426368091,0.4417793426368091,0.5582206573631909,0.3260892948953294,0.0613529971825933,0,0.23978700798600402,0.760212992013996,0.4440848171170868,0.5427755099521134,0.46717098425136916,0.19796840124847423,0.6583811754901207,0,0,0,0.44177934263681007
7,3500,7500,8500,-0.0001033174951297,0.0181082171947035,0.6138613861386139,9.721376182549868e-06,0.0002658003548442,velocity_6h:0.0488:4.4e-02;zip_count_4w:0.0413:1.3e-01;session_length_in_minutes:0.0400:1.5e-01,name_email_similarity:0.0165;session_length_in_minutes:0.0156;income:0.0151,,,,,1.0,0.0126357347106184,,,,,,,0.38613861386138615,0.0,0.4417793426368091,0.4417793426368091,0.5582206573631909,0.2155505508630143,-0.6591535925524523,0,0.23978700798600402,0.760212992013996,0.29354759097570143,0.5427755099521134,0.4454680600919107,0.19388055685335165,0.6583811754901207,0,0,0,0.44177934263681007
8,4000,8000,9000,-6.814012678302284e-05,0.0177776869330293,0.594059405940594,-1.3762245877191328e-05,0.0002450216751576,credit_risk_score:0.0460:6.6e-02;velocity_6h:0.0435:9.5e-02;velocity_4w:0.0372:2.1e-01,credit_risk_score:0.0213;income:0.0182;bank_branch_count_8w:0.0151,,,,,1.0,0.0126357347106184,,,,,,,0.40594059405940597,0.0,0.4417793426368091,0.4417793426368091,0.5582206573631909,0.2266044252662458,-0.5871029335789478,0,0.23978700798600402,0.760212992013996,0.30860131358983994,0.5427755099521134,0.43026064381390283,0.18778488855174283,0.6583811754901207,0,0,0,0.44177934263681007
9,4500,8500,9500,0.0004133567284736,0.0177686193979478,0.0693069306930693,1.3801192704625542e-05,0.000257977974996,days_since_request:0.0488:4.4e-02;velocity_6h:0.0440:8.9e-02;bank_months_count:0.0390:1.7e-01,velocity_6h:0.0235;date_of_birth_distinct_emails_4w:0.0164;intended_balcon_amount:0.0132,,,,,1.0,0.0126357347106184,,,,,,,0.9306930693069307,0.0,0.4417793426368091,0.4417793426368091,0.5582206573631909,0.5195320969518807,1.3222395292189233,0,0.23978700798600402,0.760212992013996,0.7075249628645112,0.5427755099521134,0.4579870757189637,0.1966103841795372,0.6583811754901207,1,0,0,0.44177934263681007
